Exiobase - Category,Exiobase - Compartment,Exiobase - Unit
"PM10 - non combustion - Zinc, unwrought, not alloyed - air",air,kg
PM2.5 - non combustion - Agglomeration plant - pellets - air,air,kg
PM2.5 - non combustion - Agglomeration plant - sinter - air,air,kg
PM2.5 - non combustion - Aluminium ores and concentrates (Bauxite) - air,air,kg
PM2.5 - non combustion - Bricks production - air,air,kg
PM2.5 - non combustion - Briquettes production - air,air,kg
PM2.5 - non combustion - Carbon black production - air,air,kg
PM2.5 - non combustion - Cast iron production (grey iron foundries) - air,air,kg
PM2.5 - non combustion - Cement production - air,air,kg
"PM2.5 - non combustion - Chemical wood pulp, dissolving grades - air",air,kg
"PM2.5 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",air,kg
"PM2.5 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",air,kg
PM2.5 - non combustion - Chromium ores and concentrates - air,air,kg
PM2.5 - non combustion - Copper ores and concentrates - air,air,kg
PM2.5 - non combustion - Fertilizer production (N-fertilizer) - air,air,kg
PM2.5 - non combustion - Glass production - air,air,kg
PM2.5 - non combustion - Gold ores and concentrates - air,air,kg
PM2.5 - non combustion - Iron ores and concentrates - air,air,kg
PM2.5 - non combustion - Lead ores and concentrates - air,air,kg
PM2.5 - non combustion - Lime production - air,air,kg
PM2.5 - non combustion - Mining of antracite - air,air,kg
PM2.5 - non combustion - Mining of bituminous coal - air,air,kg
PM2.5 - non combustion - Mining of coking coal - air,air,kg
PM2.5 - non combustion - Mining of lignite (brown coal) - air,air,kg
PM2.5 - non combustion - Mining of sub-bituminous coal - air,air,kg
PM2.5 - non combustion - Molybdenum ores and concentrates - air,air,kg
PM2.5 - non combustion - N- fertilizer production - air,air,kg
PM2.5 - non combustion - Nickel ores and concentrates - air,air,kg
"PM2.5 - non combustion - Nickel, unwrought - air",air,kg
PM2.5 - non combustion - Oil refinery - air,air,kg
"PM2.5 - non combustion - Pig iron production, blast furnace - air",air,kg
PM2.5 - non combustion - Platinum ores and concentrates - air,air,kg
PM2.5 - non combustion - Primary aluminium production - air,air,kg
PM2.5 - non combustion - Production of coke oven coke - air,air,kg
PM2.5 - non combustion - Production of gascoke - air,air,kg
"PM2.5 - non combustion - Refined copper; unwrought, not alloyed - air",air,kg
"PM2.5 - non combustion - Refined lead, unwrought - air",air,kg
PM2.5 - non combustion - Secondary aluminium production - air,air,kg
"PM2.5 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",air,kg
PM2.5 - non combustion - Silver ores and concentrates - air,air,kg
PM2.5 - non combustion - Steel production: basic oxygen furnace - air,air,kg
PM2.5 - non combustion - Steel production: electric arc furnace - air,air,kg
PM2.5 - non combustion - Steel production: open hearth furnace - air,air,kg
PM2.5 - non combustion - Tin ores and concentrates - air,air,kg
PM2.5 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air,kg
PM2.5 - non combustion - Zinc ores and concentrates - air,air,kg
"PM2.5 - non combustion - Zinc, unwrought, not alloyed - air",air,kg
Pb - non combustion - Agglomeration plant - pellets - air,air,kg
Pb - non combustion - Agglomeration plant - sinter - air,air,kg
Pb - non combustion - Glass production - air,air,kg
"Pb - non combustion - Nickel, unwrought - air",air,kg
"Pb - non combustion - Pig iron production, blast furnace - air",air,kg
Pb - non combustion - Production of coke oven coke - air,air,kg
Pb - non combustion - Production of gascoke - air,air,kg
"Pb - non combustion - Refined copper; unwrought, not alloyed - air",air,kg
"Pb - non combustion - Refined lead, unwrought - air",air,kg
Pb - non combustion - Steel production: basic oxygen furnace - air,air,kg
Pb - non combustion - Steel production: electric arc furnace - air,air,kg
Pb - non combustion - Steel production: open hearth furnace - air,air,kg
Pb - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air,kg
"Pb - non combustion - Zinc, unwrought, not alloyed - air",air,kg
SOx - non combustion - Agglomeration plant - sinter - air,air,kg
SOx - non combustion - Bricks production - air,air,kg
SOx - non combustion - Cement production - air,air,kg
"SOx - non combustion - Chemical wood pulp, dissolving grades - air",air,kg
"SOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",air,kg
"SOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",air,kg
SOx - non combustion - Glass production - air,air,kg
SOx - non combustion - Lime production - air,air,kg
"SOx - non combustion - Nickel, unwrought - air",air,kg
SOx - non combustion - Oil refinery - air,air,kg
"SOx - non combustion - Pig iron production, blast furnace - air",air,kg
SOx - non combustion - Production of coke oven coke - air,air,kg
SOx - non combustion - Production of gascoke - air,air,kg
"SOx - non combustion - Refined copper; unwrought, not alloyed - air",air,kg
"SOx - non combustion - Refined lead, unwrought - air",air,kg
"SOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",air,kg
SOx - non combustion - Sulphuric acid production - air,air,kg
SOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air,kg
"SOx - non combustion - Zinc, unwrought, not alloyed - air",air,kg
Se - non combustion - Agglomeration plant - pellets - air,air,kg
Se - non combustion - Agglomeration plant - sinter - air,air,kg
Se - non combustion - Glass production - air,air,kg
Se - non combustion - Steel production: basic oxygen furnace - air,air,kg
TSP - non combustion - Agglomeration plant - pellets - air,air,kg
TSP - non combustion - Agglomeration plant - sinter - air,air,kg
TSP - non combustion - Aluminium ores and concentrates (Bauxite) - air,air,kg
TSP - non combustion - Bricks production - air,air,kg
TSP - non combustion - Briquettes production - air,air,kg
TSP - non combustion - Carbon black production - air,air,kg
TSP - non combustion - Cast iron production (grey iron foundries) - air,air,kg
TSP - non combustion - Cement production - air,air,kg
"TSP - non combustion - Chemical wood pulp, dissolving grades - air",air,kg
"TSP - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",air,kg
"TSP - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",air,kg
TSP - non combustion - Chromium ores and concentrates - air,air,kg
TSP - non combustion - Copper ores and concentrates - air,air,kg
TSP - non combustion - Fertilizer production (N-fertilizer) - air,air,kg
TSP - non combustion - Glass production - air,air,kg
TSP - non combustion - Gold ores and concentrates - air,air,kg
TSP - non combustion - Iron ores and concentrates - air,air,kg
TSP - non combustion - Lead ores and concentrates - air,air,kg
TSP - non combustion - Lime production - air,air,kg
TSP - non combustion - Mining of antracite - air,air,kg
TSP - non combustion - Mining of bituminous coal - air,air,kg
TSP - non combustion - Mining of coking coal - air,air,kg
TSP - non combustion - Mining of lignite (brown coal) - air,air,kg
TSP - non combustion - Mining of sub-bituminous coal - air,air,kg
TSP - non combustion - Molybdenum ores and concentrates - air,air,kg
TSP - non combustion - N- fertilizer production - air,air,kg
TSP - non combustion - Nickel ores and concentrates - air,air,kg
"TSP - non combustion - Nickel, unwrought - air",air,kg
TSP - non combustion - Oil refinery - air,air,kg
"TSP - non combustion - Pig iron production, blast furnace - air",air,kg
TSP - non combustion - Platinum ores and concentrates - air,air,kg
TSP - non combustion - Primary aluminium production - air,air,kg
TSP - non combustion - Production of coke oven coke - air,air,kg
TSP - non combustion - Production of gascoke - air,air,kg
"TSP - non combustion - Refined copper; unwrought, not alloyed - air",air,kg
"TSP - non combustion - Refined lead, unwrought - air",air,kg
TSP - non combustion - Secondary aluminium production - air,air,kg
"TSP - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",air,kg
TSP - non combustion - Silver ores and concentrates - air,air,kg
TSP - non combustion - Steel production: basic oxygen furnace - air,air,kg
TSP - non combustion - Steel production: electric arc furnace - air,air,kg
TSP - non combustion - Steel production: open hearth furnace - air,air,kg
TSP - non combustion - Tin ores and concentrates - air,air,kg
TSP - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air,kg
TSP - non combustion - Zinc ores and concentrates - air,air,kg
"TSP - non combustion - Zinc, unwrought, not alloyed - air",air,kg
Zn - non combustion - Agglomeration plant - pellets - air,air,kg
Zn - non combustion - Agglomeration plant - sinter - air,air,kg
Zn - non combustion - Glass production - air,air,kg
"Zn - non combustion - Nickel, unwrought - air",air,kg
"Zn - non combustion - Pig iron production, blast furnace - air",air,kg
"Zn - non combustion - Refined copper; unwrought, not alloyed - air",air,kg
"Zn - non combustion - Refined lead, unwrought - air",air,kg
Zn - non combustion - Steel production: basic oxygen furnace - air,air,kg
Zn - non combustion - Steel production: electric arc furnace - air,air,kg
Zn - non combustion - Steel production: open hearth furnace - air,air,kg
Zn - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air,kg
"Zn - non combustion - Zinc, unwrought, not alloyed - air",air,kg
SF6 - air,air,kg
HFC - air,air,kg CO2-eq
PFC - air,air,kg CO2-eq
CH4 - agriculture - air,air,kg
CO2 - agriculture - peat decay - air,air,kg
N - agriculture - water,water,kg
N2O - agriculture - air,air,kg
NH3 - agriculture - air,air,kg
NOX - agriculture - air,air,kg
P - agriculture - soil,soil,kg
P - agriculture - water,water,kg
Pxx - agriculture - soil,soil,kg
CH4 - waste - air,air,kg
CO - waste - air,air,kg
CO2 - waste - biogenic - air,air,kg
CO2 - waste - fossil - air,air,kg
Emissions nec - waste - undef,undef,kg
N - waste - water,water,kg
NH3 - waste - air,air,kg
NOX - waste - air,air,kg
P - waste - water,water,kg
PM2.5 - waste - air,air,kg
SOx - waste - air,air,kg
Cropland,nature ,km2
Forest,nature ,km2
Grazing_land,nature ,km2
Other_land,nature ,km2
Infrastructure_land,nature ,km2
Marginal_land,nature ,km2
